측정시간,온도_섭씨,압력_Pa,가스유량_slm,전력_W,진공도_mTorr,두께_nm,합격여부
2024-05-13 22:00,294.3387,1007.4419,48.4931,2020.1871,,102.4406,1
2024-05-14 00:00,300.4993,1007.7752,51.0291,1956.3594,,100.5641,1
2024-05-14 02:00,293.0751,1018.3719,47.0583,1922.5529,4.3938,97.2365,1
2024-05-14 10:00,295.1557,1004.6727,46.2331,1998.3031,4.3888,98.736,1
2024-05-14 18:00,293.6484,1018.6366,50.8625,1979.5743,,97.732,1
2024-05-14 22:00,299.7527,1017.5715,49.6455,,4.8414,102.2576,1
2024-05-15 01:00,299.6059,1010.8428,47.9083,2020.5816,6.5725,109.8954,0
2024-05-15 11:00,299.6822,1014.6683,48.0029,2040.288,5.4496,96.0568,1
2024-05-07 15:00,304.9609,1018.191,46.0861,1998.9485,5.4195,104.2531,1
2024-05-15 18:00,293.6714,1010.5132,51.3167,1939.0441,4.7611,100.118,1
2024-05-16 02:00,303.5606,1015.4775,49.1233,1972.4402,5.1713,,1
2024-05-16 05:00,304.9077,1012.6559,52.2327,1977.8283,4.9347,99.2845,1
2024-05-16 12:00,302.9293,1021.5426,51.856,2009.1007,5.0637,101.728,1
2024-05-16 19:00,298.2638,1035.7715,46.6557,2026.9397,4.5098,100.6168,1
2024-05-16 20:00,303.7126,1013.9952,47.953,1957.6586,4.7091,97.2677,1
2024-05-17 00:00,300.2539,1015.7347,50.598,2012.7437,4.8126,,1
2024-05-17 04:00,296.9961,1015.5092,48.1455,2030.0374,5.4652,99.2808,1
2024-05-17 07:00,301.8665,1013.0535,51.7071,2004.1675,4.6668,95.4768,1
2024-05-17 14:00,302.4818,1011.8486,46.8449,1969.0835,5.0208,103.0884,1
2024-05-17 19:00,303.1927,1004.151,54.1617,2059.405,,98.1916,1
2024-05-18 02:00,299.202,1011.1102,49.8084,1996.1708,4.6948,101.1177,1
2024-05-18 09:00,305.5119,1010.8811,51.488,1958.6072,4.5515,101.2831,1
2024-05-18 20:00,299.0852,1030.2257,47.7668,1991.8079,4.5531,101.2765,1
2024-05-19 01:00,298.6825,1020.0701,51.4829,1990.3116,4.5238,101.0138,1
2024-05-17 14:00,302.4818,1011.8486,46.8449,1969.0835,5.0208,103.0884,1
2024-05-19 11:00,296.9967,,53.839,2010.4983,5.086,101.2563,1
2024-05-19 16:00,301.0761,1020.2359,47.8817,2147.8084,6.5783,108.8847,0
2024-05-19 20:00,298.1739,1025.1469,47.5738,2006.1726,4.5568,101.4937,1
2024-05-11 03:00,306.8741,996.3121,49.4787,2042.2522,4.317,103.3222,1
2024-05-20 02:00,297.3741,1021.9404,49.4957,2020.3589,4.9531,98.2867,1
2024-05-20 11:00,299.1152,1025.8454,50.1728,2152.8947,6.3383,100.305,0
2024-05-20 20:00,300.8547,1015.9617,51.5659,2008.3776,5.4015,99.0191,1
2024-05-21 04:00,297.6229,1016.0994,54.5134,2022.6468,6.3844,111.2351,0
2024-05-21 07:00,303.0455,1023.3323,47.8798,2090.4047,5.3753,102.3039,1
2024-05-21 17:00,292.574,1020.2871,51.704,2159.2894,5.1938,107.8247,0
2024-05-21 20:00,300.3226,1025.382,51.1357,2025.5934,4.8743,97.9082,1
2024-05-21 21:00,300.7278,1028.0058,49.3595,1968.4242,4.739,95.8073,1
2024-05-22 08:00,293.8986,1005.3132,50.318,2014.0247,5.0269,101.1219,1
2024-05-22 13:00,300.7131,1010.9295,50.8644,2022.2168,4.9975,97.4045,1
2024-05-22 18:00,295.8262,1017.7761,49.3233,2028.7055,4.9479,102.4681,1
2024-05-23 02:00,300.9983,1015.2429,48.3942,2010.9617,4.9997,100.8753,1
2024-05-23 13:00,302.6915,1003.8995,57.5041,1964.0403,4.8885,98.6002,1
2024-05-23 14:00,302.2148,1024.8523,48.4589,2087.063,4.7786,108.5861,0
2024-05-23 20:00,294.5176,,50.836,2130.6597,7.2933,104.2048,0
2024-05-24 03:00,304.5579,1017.6343,48.314,1975.4509,4.9087,100.2319,1
2024-05-24 08:00,291.2671,1007.722,47.1351,2017.6056,5.5832,103.7175,1
2024-05-24 18:00,301.9185,1000.5174,49.8764,2004.6201,4.8207,100.7797,1
2024-05-24 20:00,298.0587,1015.0792,51.1594,1969.3507,4.9255,97.6673,1
2024-05-25 01:00,296.0409,1019.2312,47.824,2005.7557,5.1199,101.026,1
2024-05-25 11:00,291.7849,1013.0421,51.0562,1981.8074,5.0773,97.9942,1
2024-05-25 20:00,299.9691,1014.6413,49.4285,1943.4582,4.6138,98.5861,1
2024-05-25 23:00,295.6535,1017.4138,48.32,2044.2201,4.5002,103.2409,1
2024-05-26 03:00,302.9334,1013.1988,47.0798,2039.6208,4.7776,100.9307,1
2024-05-26 11:00,297.9717,998.2071,47.7721,2029.0628,5.3628,94.9225,1
2024-05-26 19:00,302.0276,1012.975,51.7542,1994.1798,5.4679,102.2773,1
2024-05-26 21:00,301.5496,1013.3339,50.3089,2138.0112,6.9911,106.1099,0
2024-05-27 08:00,298.6814,999.1008,50.3761,1994.1703,5.3852,101.1773,1
2024-05-27 13:00,306.6286,1013.7588,49.1667,2005.5051,4.5937,96.9759,1
2024-05-27 21:00,301.6929,1020.5688,51.7419,2004.8054,5.2653,100.6508,1
